Acronym,Year,Name,Rank,URL,Abstract Deadline,Submission Deadline,Notification Date,Timezone,Topics,Short Description,Other Tracks,Confidence Score,Status
ICSME,2027,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",A,,,,,,,,,10,Wrong Edition / Date Not Found
ICSOC,2027,International Conference on Service Oriented Computing,A,,,,,,,,,0,Wrong Edition / Date Not Found
ICST,2027,"International Conference on Software Testing, Verification and Validation",A,https://conf.researchr.org/info/icst-2027/,,2026-11-02,2026-12-22,,"software testing research, real-world challenges, innovation, reproducibility, empirical evaluation of software testing techniques",The ICST 2027 Challenge Competition Track is a new initiative aimed at strengthening the connection between software testing research and real-world challenges from both academia and industry.,"Artifact Evaluation: None | Challenge Competition Track: None | Education: None | Industry: None | Journal-First Papers: None | Posters: None | Short Papers, Vision and Emerging Results: None | Testing Tools and Data Showcase: None | Tutorials: None | Workshops: None",10,Success (Official Site)
IJCAR,2027,International Joint Conference on Automated Reasoning,A,,,,,,,,,10,Wrong Edition / Date Not Found
IMC,2027,Internet Measurement Conference,A,,,,,,,,,10,Wrong Edition / Date Not Found
IPDPS,2027,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),A,https://www.ipdps.org/,2026-10-01,2026-10-08,,,parallel computation,IPDPS is an international forum for engineers and scientists from around the world to present their latest research findings in all aspects of parallel computation.,Workshops: None,10,Success (Official Site)
ISSRE,2027,International Symposium on Software Reliability Engineering,A,,,,,,"reliability modeling, testing, verification, fault tolerance, software quality assurance","Focused on innovative techniques and tools for assessing, predicting, and improving the reliability, safety, and security of software systems.",,10,Wrong Edition / Date Not Found
ISSTA,2027,International Symposium on Software Testing and Analysis,A,,,,,,,,,10,Wrong Edition / Date Not Found
Middleware,2027,ACM/IFIP/USENIX International Middleware Conference,A,,,,,,,,,0,Wrong Edition / Date Not Found
Mobisys,2027,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",A,,,,,,,,,10,Wrong Edition / Date Not Found
MODELS,2027,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",A,,,,,,,,,10,Wrong Edition / Date Not Found
MSR,2027,IEEE International Working Conference on Mining Software Repositories,A,https://conf.researchr.org,2026-10-20,2026-10-23,,,"software analytics research, data science, machine learning/artificial intelligence, qualitative methodologies, source control systems, defect tracking systems, code review repositories, archived communications, question-and-answer sites, CI build servers, run-time telemetry","The Mining Software Repositories (MSR) conference is the premier venue for software analytics research, where software engineering data is analyzed using a combination of data science, machine learning/artificial intelligence, and qualitative methodologies.",Mining Challenge Proposals: 2026-08-03 | Mining Challenge Notification: 2026-08-07 | Workshops Proposal Acceptance Notification: 2026-07-24,10,Success (Official Site)
MSWIM,2027,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",A,,,,,,,,,10,Wrong Edition / Date Not Found
OOPSLA,2027,ACM Conference on Object Oriented Programming Systems Languages and Applications,A,,,,,,,,,0,Wrong Edition / Date Not Found
ICWS,2027,IEEE International Conference on Web Services,A,,,,,,,,,0,Wrong Edition / Date Not Found
MMSys,2027,ACM Multimedia Systems Conference,A,https://acmmmsys.org,2026-09-10,2026-09-17,2026-10-24,,"AI and Machine Learning in Multimedia Systems, Media Content, Networking and Communication, Computing Paradigms for Multimedia, Quality and Performance, Multimedia Applications",Submissions are solicited on all aspects of multimedia systems,Open Source Software & Datasets Track: None,10,Success (Official Site)
DSN,2027,IEEE/IFIP International Conference on Dependable Systems and Networks,A,https://dsn2027.org/,2026-11-25,2026-12-02,2027-03-18,,"certification, alignment and safety, novel attacks, prompt injection and jailbreaking in agentic systems, security and privacy in multi-agent architectures, AI architectures for cybersecurity applications, Models and methodologies for programming, evaluating, verifying, and assessing robust (dependable and secure) systems, performance and dependability evaluation, analytical and numerical methods, simulation, experimentation, benchmarking, verification, field data analysis, Emerging technologies and computing paradigms, robustness, security, dependability issues of emerging memory and storage systems, agentic systems, quantum computing, processing in memory/sensors/storage/network, 3-dimensional architectures, new hardware/software cooperative paradigms, emerging programming and system paradigms","Conference on dependable and secure systems focusing on AI architectures, verification methodologies, and emerging computing paradigms.",,10,Success (Official Site)
DATE,2027,"Design, Automation and Test in Europe Conference",A,,2026-09-13,2026-09-20,2026-11-10,AoE,"System-level design methodologies and high-level synthesis, System simulation and validation, Formal methods and verification, Design and test for analogue and mixed-signal circuits and systems, Hardware security primitives, Network on chip and on-chip communication, Low-power, energy-efficient and thermal-aware design, Approximate computing, Design Automation for Quantum Computing, Power-efficiency and Smart Energy Systems for Sustainable Computing, Autonomous Systems and Smart Industry, Applications of Artificial Intelligence Systems","The main European event bringing together designers and design automation users, researchers and vendors as well as specialists in hardware and software design, test and manufacturing of electronic circuits and systems.",,9,Success (Fallback Aggregators)
RTSS,2027,Real Time Systems Symposium,A,,,,,,"theoretical foundations of CPS, design methodologies, simulation and emulation techniques, tool chains, CPS architectures, secure CPS and CPS for security, performance analysis and robustness, safety and certification, hardware/software co-design, RISC-V–based platforms, AI/ML hardware accelerators, chiplet-based design approaches",IEEE Real-Time Systems Symposium focusing on implementing real-time principles in practical Cyber-Physical Systems (CPS) applications.,Hosting Proposals: 2026-05-15,7,Wrong Edition / Date Not Found
ICCAD,2027,IEEE/ACM International Conference on Computer-Aided Design,A,,,,,,,,,10,Wrong Edition / Date Not Found
EuroSys,2027,Eurosys Conference,A,https://2027.eurosys.org/,2026-09-18,2026-09-25,2027-01-29,,"Operating systems, Distributed systems, Cloud computing and datacenter systems, File and storage systems, Networked systems, AI/ML systems, Language support and runtime systems, Systems security and privacy, Dependable systems, Analysis, testing, and verification of systems, Database systems and data analytics frameworks, Virtualization and virtualized systems, Mobile and pervasive systems, Parallelism, concurrency, and multicore systems, Real-time, embedded, and cyber-physical systems, Systems for emerging hardware, such as quantum computing",EuroSys 2027 seeks papers in all areas of computer systems research,,8,Success (Official Site)
BPM,2027,International Conference in Business Process Management,A,,,,,,,,,10,Wrong Edition / Date Not Found
CGO,2027,International Symposium on Code Generation and Optimization,A,https://conf.researchr.org/home/cgo-2027,,2026-09-28,2026-08-03,,"optimization and code generation techniques, static approaches, dynamic approaches, software-based methods, architectural features and support for code generation and optimization",Premier venue to bring together researchers and practitioners working at the interface of hardware and software on a wide range of optimization and code generation techniques and related issues.,Workshops: None | Tutorials: None,10,Success (Official Site)
CoNEXT,2027,ACM International Conference on Emerging Networking Experiments and Technologies,A,,,,,,,,,10,Wrong Edition / Date Not Found
DISC,2027,International Symposium on Distributed Computing (was WDAG),A,,,,,,,,,10,Wrong Edition / Date Not Found
EASE,2027,International Conference on Evaluation and Assessment in Software Engineering,A,https://conf.researchr.org,,,,,"evidence-based software engineering, software practice",Evidence-based software engineering and its implications for software practice.,Short papers & emerging results: None,10,Wrong Edition / Date Not Found
ECOOP,2027,European Conference on Object-Oriented Programming,A,https://ecoop2027.conf.researchr.org,,2026-11-19,2027-01-28,,"programming languages, software development, systems, applications, object orientation, theoretical investigations of programming languages, systems and environments","Europe's longest-standing annual Programming Languages conference, bringing together researchers, practitioners, and students to share their ideas and experiences in all topics related to programming languages, software development, systems and applications.",,10,Success (Official Site)
ESEM,2027,International Symposium on Empirical Software Engineering and Measurement,A,,,,,,,,,10,Wrong Edition / Date Not Found
HotOS,2027,USENIX Workshop on Hot Topics in Operating Systems,A,,,,,,"systems research, computational infrastructure",Participants in the 21st Workshop on Hot Topics in Operating Systems will present and discuss new ideas in systems research and how technological advances and new applications are shaping our computational infrastructure.,,10,Wrong Edition / Date Not Found
HPDC,2027,ACM International Symposium on High Performance Distributed Computing,A,,,,,,,,,0,Wrong Edition / Date Not Found
ICDCS,2027,International Conference on Distributed Computing Systems,A,,,,,,,,,10,Wrong Edition / Date Not Found
ICFP,2027,International Conference on Functional Programming,A,,,,,,,,,0,Wrong Edition / Date Not Found
ICNP,2027,International Conference on Network Protocols,B,,,,,,,,,10,Wrong Edition / Date Not Found
ICPADS,2027,International Conference on Parallel and Distributed Systems,B,,,,,,,,,10,Wrong Edition / Date Not Found
ICPE,2027,ACM/SPEC International Conference on Performance Engineering,B,https://icpe2027.spec.org/,,,,,"performance measurement, modeling, benchmark design, run-time performance management, scalability, elasticity, availability, reliability, security, energy efficiency",Integrate theory and practice in the field of performance engineering by providing a forum for sharing ideas and experiences between industry and academia.,,10,Wrong Edition / Date Not Found
ICPP,2027,International Conference on Parallel Processing,B,,,,,,,,,10,Wrong Edition / Date Not Found
ICSR,2027,International Conference on Software Reuse,B,,,,,,,,,10,Wrong Edition / Date Not Found
ICSSP,2027,International Conference on Software and System Processes (was ICSP prior to 2011),B,,,,,,,,,10,Wrong Edition / Date Not Found
IEEE CCNC,2027,IEEE Consumer Communications and Networking Conference,B,https://ccnc2027.ieee-ccnc.org,,2026-08-01,2026-08-31,,"Edge/Cloud Computing and Networking, Networking Solutions for Metaverse, Social Applications, Multimedia, and Games, Testbeds, Experimentation and Datasets for Communications and Networking, Wireless Communications: Fundamentals, PHY and Above, Beyond 5G and Towards 6G, IoT: From Sensors to Vertical Applications, Security, Privacy, and Content Protection, Digital Twins for Networking and Communications, Communications and Applications for Connected and Autonomous Vehicles on Land, Water, and Sky, AI/ML for Communications and Networking, Satellite Networks and Integrated Space-Air-Ground Networks, Quantum Networking and Computing",Research contributions are welcome in all areas pertinent to consumer communications and networking,Workshops: 2026-06-29 | Demonstrations: 2026-08-31,10,Success (Official Site)
IEEE SSE,2027,IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),B,,,,,,,,,0,Wrong Edition / Date Not Found
IFM,2027,Integrated Formal Methods,B,http://www.etaps.org/2027/,,2026-10-15,2026-12-22,,"Requirements, specification, modeling, design, and synthesis of software and systems, Integrated methods combining verification, testing, simulation, etc., Formal verification and analysis, e.g., program verification, model checking, static analysis, theorem proving, decision procedures, SAT and SMT solving, Formal and semi-formal modeling languages and notations, Integration of heterogeneous modeling languages and notations, Models and relations between abstractions for system design and analysis, AI for software and systems engineering and software and systems engineering for AI, Methods for supporting the evolution of software and systems, Ethical aspects of software and systems engineering, Integration of methods into engineering practice",iFS focuses on methodological advances for software and systems engineering to achieve the next levels of quality.,Satellite events (workshops) proposals: 2026-06-26,10,Success (Official Site)
IM,2027,IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),B,,,,,,,,,10,Wrong Edition / Date Not Found
IWCMC,2027,ACM International Wireless Communications and Mobile Computing Conference,B,,,,,,"Trust, Privacy and Security, Communication and Information Theory, Multimedia over Wireless, Mobile Computing, Wireless Networking, Vehicular Communications, Wireless Sensor Networks",International Wireless Communications and Mobile Computing Conference,,5,Wrong Edition / Date Not Found
IWQoS,2027,IEEE International Workshop on Quality of Service,B,,,,,,,,,10,Wrong Edition / Date Not Found
LCN,2027,IEEE Conference on Local Computer Networks,B,,,,,,,,,10,Wrong Edition / Date Not Found
LCTES,2027,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",B,,,,,,,,,0,Wrong Edition / Date Not Found
MASCOTS,2027,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,B,,,,,,,,,10,Wrong Edition / Date Not Found
MASS,2027,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,B,,,,,,,,,10,Wrong Edition / Date Not Found
MDM,2027,International Conference on Mobile Data Management,B,,,,,,,,,10,Wrong Edition / Date Not Found
NCA,2027,IEEE International Symposium on Network Computing and Applications,B,,,,,,,,,10,Wrong Edition / Date Not Found
NetSoft,2027,International Conference on Network Softwarization,B,,,,,,,,,10,Wrong Edition / Date Not Found
Networking,2027,IFIP International Conference on Networking,B,,,,,,,,,10,Wrong Edition / Date Not Found
NOMS,2027,IEEE Network Operations and Management Symposium,B,,,,,,,,,10,Wrong Edition / Date Not Found
NOSSDAV,2027,Network and Operating System Support for Digital Audio and Video,B,,,,,,,,,10,Wrong Edition / Date Not Found
OPODIS,2027,International Conference on Principles of Distributed Systems,B,,,,,,,,,10,Wrong Edition / Date Not Found
PACT,2027,International Conference on Parallel Architecture and Compilation Techniques,B,,,,,,,,,10,Wrong Edition / Date Not Found
PADS,2027,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),B,,,,,,,,,10,Wrong Edition / Date Not Found
PAM,2027,Passive and Active Measurement Conference,B,,,,,,,,,10,Wrong Edition / Date Not Found
Petri Nets,2027,International Conference on the Application and Theory of Petri Nets and Concurrency,B,https://www.wikicfp.com/cfp/petrinets,,,,,,,,10,Wrong Edition / Date Not Found
PIMRC,2027,IEEE International Symposium on Personal and Indoor Mobile Radio Conference,B,,,,,,"AI and machine learning in communications, channel modeling, cooperative communications, integrated sensing, millimeter wave and terahertz communications, multi-user communications, optical wireless communications, physical layer security, quantum communications","International symposium focusing on cellular, PCS, wireless LAN, and mobile data industries.",,8,Wrong Edition / Date Not Found
CLOUD,2027,IEEE International Conference on Cloud Computing,B,,,,,,,,,10,Wrong Edition / Date Not Found
CNSM,2027,International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),B,,,,,,,,,10,Wrong Edition / Date Not Found
DCOSS,2027,IEEE International Conference on Distributed Computing in Sensor Systems,B,,,,,,,,,0,Wrong Edition / Date Not Found
e-Science,2027,IEEE International Conference on e-Science and Grid Computing,B,,,,,,,,,10,Wrong Edition / Date Not Found
ECMFA,2027,European Conference on Modelling Foundations and Applications,B,,,,,,,,,10,Wrong Edition / Date Not Found
EDOC,2027,IEEE International Enterprise Distributed Object Computing Conference,B,,,,,,,,,10,Wrong Edition / Date Not Found
ENASE,2027,International Conference on Evaluation of Novel Approaches to Software Engineering,B,https://www.scitevents.org/ENASE2027,2027-02-16,2026-11-17,2027-01-15,,"AI-assisted coding, low-code/no-code platforms, cloud and edge computing, security and DevSecOps, IoT integration, sustainable engineering",The mission of ENASE (Evaluation of Novel Approaches to Software Engineering) is to be a prime international forum to discuss and publish research findings and IT industry experiences with relation to novel approaches to software engineering.,Workshops: 2026-11-27 | Special Sessions: 2026-11-27 | Tutorials: 2026-11-27 | Demos: 2026-11-27 | Panels: 2026-11-27,10,Success (Official Site)
EuroPar,2027,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),B,,,,,,,,,10,Wrong Edition / Date Not Found
EuroSPI,2027,European SPI,B,,,,,,,,,10,Wrong Edition / Date Not Found
EWSN,2027,International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),B,,,,,,,,,10,Wrong Edition / Date Not Found
FASE,2027,Fundamental Approaches to Software Engineering,B,https://etaps.org,2026-10-15,2026-10-15,2026-12-22,,"formal and foundational approaches, rigorous, reliable, and scientifically grounded software and systems development, formal modelling, verification, analysis, simulation techniques","iFS is concerned with the foundations on which software engineering is built, with the aim of making software engineering a more mature and soundly-based discipline.",Workshops: None,10,Success (Official Site)
FMCAD,2027,Formal Methods in Computer-Aided Design,B,,,,,,,,,10,Wrong Edition / Date Not Found
GLOBECOM,2027,IEEE Global Telecommunications Conference ,B,https://www.conferences365.com/GLOBECOM-2027-2027-IEEE-Global-Communications-Conference,,,,,Engineering Telecommunications and Networks,"IEEE GLOBECOM is a flagship conference of the IEEE Communications Society, featuring a comprehensive high-quality technical program including 13 symposia and a variety of tutorials and workshops.",,7,Wrong Edition / Date Not Found
GPCE,2027,International Conference on Generative Programming and Component Engineering,B,,,,,,,,,10,Wrong Edition / Date Not Found
ICCCI,2027,International Conference on Computational Collective Intelligence,B,,,,,,,,,0,Wrong Edition / Date Not Found
ICCCN,2027,International Conference on Computer Communication and Networks,B,,,,,,,,,0,Wrong Edition / Date Not Found
ICECCS,2027,IEEE International Conference on Engineering of Complex Computer Systems,B,,,,,,,,,0,Wrong Edition / Date Not Found
ECSA,2027,European Conference on Software Architecture,B,https://conf.researchr.org,,,,,,,,5,Wrong Edition / Date Not Found
ICLP,2027,International Conference on Logic Programming,B,,,,,,,,,10,Wrong Edition / Date Not Found
AFT,2027,Advances in Financial Technologies,B,,,,,,,,,10,Wrong Edition / Date Not Found
ECRTS,2027,Euromicro Conference on Real-Time Systems,B,,,,,,,,,0,Wrong Edition / Date Not Found
IC2E,2027,International Conference on Cloud Engineering,B,,,,,,,,,10,Wrong Edition / Date Not Found
FOSSACS,2027,Foundations of Software Science and Computational Structures,B,,,2026-10-15,2026-12-22,AoE,"Categorical models and logics, Language theory, automata, and games, Modal, spatial, and temporal logics, Type theory and proof theory, Concurrency theory and process calculi, Rewriting theory, Semantics of programming languages, Program analysis, correctness, transformation, and verification, Logics of programming, Software specification and refinement, Models of concurrent, reactive, stochastic",International conference on the Foundations of Software Science and Computational Structures.,Voluntary Artifact Submission: 2027-01-11,10,Success (Fallback Aggregators)
CAIN,2027,International Conference on AI Engineering – Software Engineering for AI,B,https://conf.researchr.org/cain2027,,,,,"AI Engineering, Software Engineering for AI-Enabled Systems, AI system life cycle, Integration of AI/ML components, Software engineering principles for AI","Premier venue for research on AI Engineering (or Software Engineering for AI-Enabled Systems), focusing on the application of software engineering principles to building software with one or more AI/ML components.",Doctoral Symposium: None | Industry Track: None | Journal-First Track: None | Posters: None,10,Wrong Edition / Date Not Found
ISPASS,2027,IEEE International Symposium on Performance Analysis of Systems and Software,B,,,,,,,,,10,Wrong Edition / Date Not Found
FM,2027,International Symposium on Formal Methods (was Formal Methods Europe FME),B,https://fmeurope.org/,,,,,,Formal methods for computing systems and software,,10,Wrong Edition / Date Not Found
CCGRID,2027,"IEEE International Symposium on Cluster, Cloud and Grid Computing",B,,2026-12-08,2026-12-15,2027-02-10,AoE,"Hardware Systems, Architectures, and Quantum Future Compute Platforms, Software Systems, Applications, and Programming Models, Accelerators, Heterogeneous systems, Reconfigurable architectures, Quantum or neuromorphic computing, Software-defined networking (SDN), High-performance interconnects, Middleware, Operating systems, Programming frameworks, Cloud-native systems, Serverless computing, Microservices, Container orchestration, Resource management and scheduling","Original, high-quality papers that address fundamental research and emerging challenges across a broad spectrum of distributed systems and applications.",,10,Success (Official Site)
SmartComp,2027,IEEE International Conference on Smart Computing,B,,,,,,,,,10,Wrong Edition / Date Not Found
XP,2027,Conference on Agile Software Development,B,https://conf.researchr.org,,,,,"agile software development, modern agile approaches, broadening dimensions of agility","Premier conference on agile software development, uniquely combining research and practice.",,9,Wrong Edition / Date Not Found
CPP,2027,Certified Programs and Proofs,B,https://popl27.sigplan.org/home/CPP-2027,2026-09-03,2026-09-10,2026-11-10,,"computer science, mathematics, logic, education",Certified Programs and Proofs (CPP) is an international conference on practical and theoretical topics in all areas that consider formal verification and certification as an essential paradigm for their work.,,10,Success (Official Site)
CONCUR,2027,International Conference on Concurrency Theory,B,https://www.win.tue.nl/~wfokkink/activities.html,,,,,,,,10,Wrong Edition / Date Not Found
CHASE,2027,International Conference on Cooperative and Human Aspects of Software Engineering,B,https://conf.researchr.org,2026-10-16,2026-10-23,2026-12-18,AoE,"people and collaboration, software teamwork",Theme emphasizing the importance of people and collaboration to advance our understanding of software teamwork.,Workshop Proposal Submissions: 2026-06-12,9,Success (Completed via URL)
MOBIHOC,2027,ACM Symposium on Mobile Ad Hoc Networking and Computing,B,,,,,,,,,0,Wrong Edition / Date Not Found
AINA,2027,International Conference on Advanced Information Networking and Applications (was ICOIN),B,https://voyager.ce.fit.ac.jp/conf/aina/2027/,,2026-11-10,2027-01-10,,"Communication Protocols and Architectures, High-speed Communication and Networks, Wireless Communication Networks, Multimedia Communication Systems, Personal Communication Systems, Mobile Ad-hoc and Sensor Networks, Low-power Network and Systems, Wearable Networks and Systems, Embedded System and Networking, Internet Technology and Applications, Network Control and Management, Network Performance, Analysis and Evaluation, Quality of Services (QoS), Multicast Routing and Technology, Security, Privacy and Trust, Fault-tolerant and Dependable System, Multi-agent System and Applications, Parallel/Distributed Algorithms and Architectures, Distributed Database and Data Mining, Distributed Graphics and VR/AR/MR Systems, Distributed AI and Soft/Natural Computing, Biological Informatics, E-Learning, E-Commerce, E-Society, Grid, Cluster and Internet Computing, Peer-to-Peer (P2P) System, Service-oriented Frameworks and Middleware, Autonomic Computing and Communication, WWW, Semantic Web and Cyber World, Mobile and Context-aware Computing, Ubiquitous/Pervasive Networks and Computing, Ubiquitous Intelligence and Smart World, Smart Object, Space/Environment and Systems, Innovative Networking and Applications, Social, Ethical & Other Issues of Networked World, Network and Application Hardware, Cognitive Network Access, Digital Eco Systems",International Conference on Advanced Information Networking and Applications,Workshop Proposal: 2026-10-31 | COLLABES-2027: 2026-12-25,10,Success (Official Site)
APLAS,2027,ASIAN Symposium on Programming Languages and Systems,B,,,,,,,,,10,Wrong Edition / Date Not Found
ATVA,2027,International Symposium on Automated Technology for Verification and Analysis,B,,,,,,,,,10,Wrong Edition / Date Not Found
CC,2027,International Conference on Compiler Construction,B,,,,,,"analyzing programs, transforming programs, executing input, compiler construction","International Conference on Compiler Construction focused on analyzing, transforming or executing input that describes how a system operates.",,0,Wrong Edition / Date Not Found
PPoPP,2027,Principles and Practice of Parallel Programming,B,https://conf.researchr.org/home/PPoPP-2027,,2026-08-03,2026-10-26,,"theoretical foundations, techniques, languages, compilers, runtime systems, tools, applications, practical experience, multicore, multi-threaded, heterogeneous, clustered, distributed systems, grids, accelerators (ASICs, GPUs, FPGAs), data centers, clouds, large scale machines, quantum computers, artificial intelligence, large-scale scientific/enterprise workloads",The ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming (PPoPP) is the premier forum for leading work on all aspects of parallel and performance programming.,,10,Success (Official Site)
PROFES,2027,Product Focused Software Process Improvement,B,,,,,,,,,10,Wrong Edition / Date Not Found
REFSQ,2027,International Workshop on Requirements Engineering: Foundation for Software Quality,B,https://conf.researchr.org/refsq2027,2026-11-05,2026-11-05,,,"Empirical studies, Quantifying the impact of AI-assisted coding on requirements engineering cycles",REFSQ 2027 explores how requirements engineering can adapt to AI-accelerated development.,Workshop Proposal: 2026-10-29 | Doctoral Symposium: 2027-02-04 | Posters & Tools (Camera-ready): 2027-03-04,10,Success (Completed via URL)
RTCSA,2027,International Conference on Embedded and Real Time Computing Systems and Applications,B,,,,,,,,,10,Wrong Edition / Date Not Found
RV,2027,International Conference on Runtime Verification (was workshop pre 2010),B,,,,,,,,,10,Wrong Edition / Date Not Found
SAS,2027,Static Analysis Symposium,B,,,,,,,,,10,Wrong Edition / Date Not Found
SEAA,2027,Euromicro Conference on Software Engineering and Advanced Applications,B,,,,,,,,,10,Wrong Edition / Date Not Found
SECON,2027,"IEEE International Conference on Sensing, Communication and Networking",B,,,,,,"Sensing, Communications, Networking, Cross-disciplinary work","23rd Annual IEEE International Conference on Sensing, Communication, and Networking",,5,Wrong Edition / Date Not Found
SEFM,2027,International Conference on Software Engineering and Formal Methods,B,,,,,,,,,10,Wrong Edition / Date Not Found
SERVICES,2027,IEEE Congress on Services,B,,,,,,,,,10,Wrong Edition / Date Not Found
SLE,2027,International Conference on Software Language Engineering,B,,,,,,,,,0,Wrong Edition / Date Not Found
